설치장소명,설치장소상세,설치시설구분,서비스제공사,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
대학로2,마로니에공원 입구 방범CCTV,기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 대학로 104,,서울특별시청,37.57999,127.002355
인사동거리2,인사동길 24 인사동 사거리 방범CCTV1(1) (한국관광기념품점 CCTV),기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 인사동길 23-1,,서울특별시청,37.572911,126.986193
인사동거리2,인사동길 24 인사동 사거리 방범CCTV1(2) (한국관광기념품점 CCTV),기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 인사동길 24,,서울특별시청,37.57299,126.986377
인사동거리2,인사동길 24 인사동 사거리 방범CCTV2 (한국관광기념품점 CCTV)(낙원떡집향),기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 인사동길 25,,서울특별시청,37.572993,126.986376
종로거리,종로2가 8-4 장안빌딩 1동 1호 (종각방향),기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 종로 99,,서울특별시청,37.570355,126.984609
종로거리,종로2가 8-4 장안빌딩 1동 1호 (탑골공원방향),기타,LGU+,Seoul WiFi,17-Jun,서울특별시 종로구 종로 65,,서울특별시청,37.570352,126.984626
사직공원,사직동 주민센터 옥상,관공서,SKT,Seoul WiFi,17-Dec,서울특별시 종로구 사직로9길 5,,서울특별시청,37.576178,126.96873
사직공원,사직동 주민센터 옥상,관공서,SKT,Seoul WiFi,17-Dec,서울특별시 종로구 사직로9길 5,,서울특별시청,37.576178,126.96873
종묘공원(관리소 옥상),종묘공원 관리사무소 옥상,관공서,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로 157,,서울특별시청,37.571223,126.994034
종묘공원(관리소 옥상),종묘공원 관리사무소 옥상,관공서,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로 157,,서울특별시청,37.571223,126.994034
종묘공원(관리소 옥상),종묘공원 관리사무소 옥상,관공서,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로 157,,서울특별시청,37.571223,126.994034
대학로2,아르코예술극장 인근,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 104,,서울특별시청,37.58032,127.002768
대학로2,대학로8가길 129 아르코예술극장 앞 CCTV(2),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로8가길 129,,서울특별시청,37.58081,127.003324
대학로2,대학로8가길 129 아르코예술극장 앞 CCTV(3),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로8가길 129,,서울특별시청,37.580821,127.003329
대학로2,대학로 93 서울대병원 함춘회관 앞 거리 신호등(1),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 104,,서울특별시청,37.579677,127.001957
대학로2,대학로 93 서울대병원 함춘회관 앞 거리 신호등(2),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 93,,서울특별시청,37.579659,127.001922
대학로2,낙산공원전시장 옥상,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 낙산길 54,,서울특별시청,37.580182,127.007155
대학로2,낙산공원전시장 옥상,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 낙산길 54,,서울특별시청,37.580182,127.007155
삼청동 카페골목,북촌로5나길 83-1(1) (돌계단 끝 건물 옥상),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 북촌로5나길 83-2,,서울특별시청,37.584318,126.982677
삼청동 카페골목,북촌로5나길 83-1(2) (돌계단 끝 건물 옥상),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 북촌로5나길 83-2,,서울특별시청,37.584318,126.982677
삼청동 카페골목,카페골목 부근,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 삼청로 99,,서울특별시청,37.584317,126.981928
삼청동 카페골목,카페골목 부근,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 삼청로 99,,서울특별시청,37.584317,126.981928
서울역사박물관,신문로 2가 역사박물관 앞 광장 1 (박물관옥상) (광화문방향),지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570153,126.970674
서울역사박물관,신문로 2가 역사박물관 앞 광장 2 (박물관옥상) (서대문방향),지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570164,126.970651
서울역사박물관,LG광화문사옥 옥상,지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 새문안로 45,,서울특별시청,37.571416,126.968044
청계천2,IDA Waffle band 앞 CCTV,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 무교로 37,,서울특별시청,37.569334,126.979195
청계천2,관철동 11-14 CCTV전주 기둥,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 63,,서울특별시청,37.568815,126.984433
청계천2,피자헛 앞 CCTV,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 73,,서울특별시청,37.568554,126.98584
청계천2,관수교 다리 밑,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 136,,서울특별시청,37.568345,126.992368
청계천2,스텐다드차타드 앞 CCTV,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 149,,서울특별시청,37.568699,126.994128
청계천2,히타종합백화점 좌측 CCTV,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 151,,서울특별시청,37.568726,126.994504
청계천2,세운전자상가 앞 CCTV,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로28길 29-1,,서울특별시청,37.568793,126.995387
청계천2,배오개다리 밑,기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 청계천로 181,,서울특별시청,37.568872,126.997927
광화문역,세롱로 209-1 01-120정류장,교통시설,KT,Seoul WiFi,17-Dec,서울특별시 종로구 세종대로 149,,서울특별시청,37.570004,126.976159
종묘공원(01-181 정류장),종로3가 164-1 01-181정류장,교통시설,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로 150-1,,서울특별시청,37.570366,126.994276
종로노인종합복지관,이화동 25-1,서민·복지시설,KT,Public WiFi,17-Dec,서울특별시 종로구 이화동 25-1,,서울특별시청,37.576689,127.006063
종로노인종합복지관,이화동 25-1,서민·복지시설,KT,Public WiFi,17-Dec,서울특별시 종로구 이화동 25-1,,서울특별시청,37.576689,127.006063
종로노인종합복지관,이화동 25-1,서민·복지시설,KT,Public WiFi,17-Dec,서울특별시 종로구 이화동 25-1,,서울특별시청,37.576689,127.006063
종로노인종합복지관,이화동 25-1,서민·복지시설,KT,Public WiFi,17-Dec,서울특별시 종로구 이화동 25-1,,서울특별시청,37.576689,127.006063
대학로3,동숭동 28 -1 동숭A3A4 (서울대병원 함춘회관 옥탑),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 95,,서울특별시청,37.579877,127.001832
대학로3,대학로10길 20 동숭 (할리스후버빌딩 옥탑),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로10길 20,,서울특별시청,37.581674,127.003265
대학로3,동숭동 86번지(방통대 역사관 옆 벤치),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 86,,서울특별시청,37.578791,127.002817
대학로3,동숭동 86번지(방통대 DMC관 옥상),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 86,,서울특별시청,37.578903,127.003214
대학로3,혜화동 185 중원빌딩 동숭G3G5(중원빌딩 옥탑우측),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 144,,서울특별시청,37.583981,127.001941
대학로3,혜화동 185번지 중원빌딩 G3G5호(중원빌딩 옥탑우측),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 144,,서울특별시청,37.583981,127.001941
동대문역,"(4,5번출구)창신동 510 삼영빌딩 창신A21L0(창신A21L0 옥상)",기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로 308-1,,서울특별시청,37.571781,127.012082
동대문역,"(4,5번출구)창신동 510 삼영빌딩 창신A21L0",기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로 308-1,,서울특별시청,37.571781,127.012082
동대문종합시장D동상가,종로6가 270-3 (D동상가 입구),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로 266,,서울특별시청,37.570898,127.007288
동대문종합시장D동상가,종로6가 270-3 (D동상가 옥상 휴계소),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로 266,,서울특별시청,37.570898,127.007288
세종문화회관2,세종로 81 -3 세종문화회관 4층 (세종문화회관 옥상 국기계양대 뒤쪽),지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 세종대로 175,,서울특별시청,37.57204,126.97644
세종문화회관2,세종로 81 -3 세종문화회관 3층,지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 세종대로 175,,서울특별시청,37.572045,126.97644
시민열린마당,세종대로 198(중학동 111) (명동칼국수 옥상),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로1길 55,,서울특별시청,37.5753,126.978877
신진시장,종로5가 225-21 (신진시장내 형제사 옆 기둥),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로38길 3,,서울특별시청,37.570736,127.005071
신진시장,종로40가길 29 (신진시장내 오션직물 좌측기둥),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로40가길 29,,서울특별시청,37.570335,127.004996
인사동거리3,인사동길 23 (경일문화가게앞 CCTV),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 인사동길 23,,서울특별시청,37.572789,126.986279
인사동거리3,인사동길 23 (경일문화가게앞 CCTV),기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 인사동길 23,,서울특별시청,37.572789,126.986279
종각 젊음의 거리,관철동 12-2 (공수간입구 간판),기타,KT,Seoul WiFi,17-Dec,서울특별시 종로구 종로14길 24,,서울특별시청,37.568969,126.986845
종묘공원(관리소 폴대),훈정동 1-2번지(종묘공원 관리소 옆 Pole),관공서,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 종로 157,,서울특별시청,37.571299,126.994033
가회동 주민센터,북촌로 35,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 북촌로 35,,서울특별시청,37.580039,126.984802
가회동 주민센터,북촌로 35,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 북촌로 35,,서울특별시청,37.580039,126.984802
교남동주민센터,송월길 154,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 송월길 154,,서울특별시청,37.571925,126.961969
사직동주민센터,사직로9길 1,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 사직로9길 1,,서울특별시청,37.576022,126.968777
사직동주민센터,사직로9길 1,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 사직로9길 1,,서울특별시청,37.576022,126.968777
삼청동주민센터,삼청로 107,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 삼청로 107,,서울특별시청,37.584915,126.981745
교남동주민센터,송월길 154,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 송월길 154,,서울특별시청,37.571925,126.961969
교남동주민센터,송월길 154,관공서,KT,Public WiFi,17-Dec,서울특별시 종로구 송월길 154,,서울특별시청,37.571925,126.961969
